N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
960,100,0.000943396,835375,63750,43083,1,13.1,19.39
970,100,0.000934579,879375,77084,42292,1,11.41,20.79
980,100,0.000925926,831042,67833,43958,1,12.25,18.91
990,100,0.000917431,819000,77666,44500,1,10.55,18.4
1000,100,0.000909091,852834,79458,46542,1,10.73,18.32
1010,100,0.000900901,847375,69167,48083,1,12.25,17.62
1020,100,0.000892857,854250,67750,44708,1,12.61,19.11
1030,100,0.000884956,861208,69250,49750,1,12.44,17.31
1040,100,0.000877193,925792,69458,50708,1,13.33,18.26
1050,100,0.000869565,925292,72542,47209,1,12.76,19.6
1060,100,0.000862069,911708,75875,47750,1,12.02,19.09
1070,100,0.000854701,898584,71750,45542,1,12.52,19.73
1080,100,0.000847458,877667,71458,47250,1,12.28,18.57
1090,100,0.000840336,927375,76750,46959,1,12.08,19.75
1100,100,0.000833333,923459,70750,46333,1,13.05,19.93
1110,100,0.000826446,919042,71083,46333,1,12.93,19.84
1120,100,0.000819672,930458,72667,51500,1,12.8,18.07
1130,100,0.000813008,953667,73292,48625,1,13.01,19.61
1140,100,0.000806452,947125,81083,47709,1,11.68,19.85
1150,100,0.0008,975250,75792,54750,1,12.87,17.81
1160,100,0.000793651,965791,84291,51500,1,11.46,18.75
1170,100,0.000787402,985958,76500,56667,1,12.89,17.4
1180,100,0.00078125,979333,74709,49667,1,13.11,19.72
1190,100,0.000775194,977333,76958,49667,1,12.7,19.68
1200,100,0.000769231,1014084,75792,49209,1,13.38,20.61
1210,100,0.000763359,1016458,84333,50458,1,12.05,20.14
1220,100,0.000757576,1013125,82000,54583,1,12.36,18.56
1230,100,0.00075188,1046208,79500,50542,1,13.16,20.7
1240,100,0.000746269,1025333,79000,52208,1,12.98,19.64
1250,100,0.000740741,1030083,79958,51500,1,12.88,20
1260,100,0.000735294,1037958,86875,56459,1,11.95,18.38
1270,100,0.000729927,1052334,96500,60209,1,10.91,17.48
1280,100,0.000724638,1193750,91333,64833,1,13.07,18.41
1290,100,0.000719424,1211458,96375,67125,1,12.57,18.05
1300,100,0.000714286,1213042,92292,66500,1,13.14,18.24
1310,100,0.00070922,1251833,99458,62709,1,12.59,19.96
1320,100,0.000704225,1324042,99041,63292,1,13.37,20.92
1330,100,0.000699301,1249041,111416,62084,1,11.21,20.12
1340,100,0.000694444,1249959,110000,65875,1,11.36,18.97
1350,100,0.000689655,1254167,195542,63500,1,6.41,19.75
1360,100,0.000684932,1280417,109167,65250,1,11.73,19.62
1370,100,0.000680272,1846291,125708,87250,1,14.69,21.16
1380,100,0.000675676,1614416,168833,70375,1,9.56,22.94
1390,100,0.000671141,1299666,118750,66000,1,10.94,19.69
1400,100,0.000666667,1333833,117583,70375,1,11.34,18.95
1410,100,0.000662252,1765709,311417,74000,1,5.67,23.86
1420,100,0.000657895,1838666,110667,74291,1,16.61,24.75
1430,100,0.000653595,1338959,194042,69000,1,6.9,19.41
1440,100,0.000649351,1444334,126750,119375,1,11.4,12.1
1450,100,0.000645161,1379625,134292,70708,1,10.27,19.51
1460,100,0.000641026,1493584,107375,71875,1,13.91,20.78
1470,100,0.000636943,2017250,134459,79458,1,15,25.39
1480,100,0.000632911,1649125,164334,128333,1,10.04,12.85
1490,100,0.000628931,1684791,127041,79875,1,13.26,21.09
1500,100,0.000625,1605667,131875,79667,1,12.18,20.15
1510,100,0.000621118,1625708,130833,80459,1,12.43,20.21
1520,100,0.000617284,1638833,131125,81083,1,12.5,20.21
1530,100,0.000613497,1640334,132709,83500,1,12.36,19.64
1540,100,0.000609756,1693667,151625,112875,1,11.17,15
1550,100,0.000606061,1676750,160375,86750,1,10.46,19.33
1560,100,0.00060241,2059500,161584,97875,1,12.75,21.04
1570,100,0.000598802,1978208,161583,100334,1,12.24,19.72
1580,100,0.000595238,2090083,170375,99459,1,12.27,21.01
1590,100,0.000591716,1994375,158208,98125,1,12.61,20.32
1600,100,0.000588235,2024833,157083,97625,1,12.89,20.74
1610,100,0.000584795,2056333,157250,98792,1,13.08,20.81
1620,100,0.000581395,2125625,157750,99667,1,13.47,21.33
1630,100,0.000578035,2165208,158667,98792,1,13.65,21.92
1640,100,0.000574713,2108500,165750,102125,1,12.72,20.65
1650,100,0.000571429,2110500,212333,99833,1,9.94,21.14
1660,100,0.000568182,2144791,158041,109041,1,13.57,19.67
1670,100,0.000564972,2097041,172625,102625,1,12.15,20.43
1680,100,0.000561798,2106125,169583,102833,1,12.42,20.48
1690,100,0.000558659,2092417,183542,107083,1,11.4,19.54
1700,100,0.000555556,2171000,167084,112250,1,12.99,19.34
1710,100,0.000552486,2142083,241333,106292,1,8.88,20.15
1720,100,0.000549451,2143334,170916,106083,1,12.54,20.2
1730,100,0.000546448,2157833,170167,112084,1,12.68,19.25
1740,100,0.000543478,2151000,166208,106291,1,12.94,20.24
1750,100,0.000540541,2251834,170084,108958,1,13.24,20.67
1760,100,0.000537634,2171834,164125,110084,1,13.23,19.73
1770,100,0.000534759,1897500,145791,95625,1,13.02,19.84
1780,100,0.000531915,2125083,165792,107917,1,12.82,19.69
1790,100,0.000529101,2611917,281625,116792,1,9.27,22.36
1800,100,0.000526316,2245000,259209,109041,1,8.66,20.59
1810,100,0.00052356,2983334,225125,120750,1,13.25,24.71
1820,100,0.000520833,2610709,246209,112292,1,10.6,23.25
1830,100,0.000518135,2309500,180292,116834,1,12.81,19.77
1840,100,0.000515464,2611375,183708,110667,1,14.21,23.6
1850,100,0.000512821,2451958,204500,186125,1,11.99,13.17
1860,100,0.000510204,2346916,200083,114375,1,11.73,20.52
1870,100,0.000507614,2335417,182917,113917,1,12.77,20.5
1880,100,0.000505051,2368084,177500,113417,1,13.34,20.88
1890,100,0.000502513,2397375,179500,115125,1,13.36,20.82
1900,100,0.0005,2360166,187625,117750,1,12.58,20.04
1910,100,0.000497512,2442500,195708,113417,1,12.48,21.54
1920,100,0.00049505,2403166,183041,116458,1,13.13,20.64
1930,100,0.000492611,2396541,191875,117166,1,12.49,20.45
1940,100,0.000490196,2397041,195042,115583,1,12.29,20.74
1950,100,0.000487805,2426291,194500,115375,1,12.47,21.03
1960,100,0.000485437,2104500,170833,99208,1,12.32,21.21
1970,100,0.000483092,2119875,177666,101125,1,11.93,20.96
1980,100,0.000480769,2129584,169417,101041,1,12.57,21.08
1990,100,0.000478469,2095959,172500,103375,1,12.15,20.28
2000,100,0.00047619,2116708,164458,100458,1,12.87,21.07
2010,100,0.000473934,1926250,286667,93625,1,6.72,20.57
2020,100,0.000471698,1477875,178416,75291,1,8.28,19.63
2030,100,0.000469484,1229458,93458,55209,1,13.16,22.27
2040,100,0.00046729,1074459,76166,47917,1,14.11,22.42
