N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
960,100,0.000943396,482208,37792,28416,1,12.76,16.97
970,100,0.000934579,481084,37750,25083,1,12.74,19.18
980,100,0.000925926,495708,40500,27042,1,12.24,18.33
990,100,0.000917431,513500,43833,33000,1,11.71,15.56
1000,100,0.000909091,498958,38750,25750,1,12.88,19.38
1010,100,0.000900901,500833,39042,25833,1,12.83,19.39
1020,100,0.000892857,552750,45666,29334,1,12.1,18.84
1030,100,0.000884956,522583,42792,28625,1,12.21,18.26
1040,100,0.000877193,540792,47583,26333,1,11.37,20.54
1050,100,0.000869565,568959,44542,31958,1,12.77,17.8
1060,100,0.000862069,575458,44083,28125,1,13.05,20.46
1070,100,0.000854701,559209,41750,27792,1,13.39,20.12
1080,100,0.000847458,630959,58666,35750,1,10.76,17.65
1090,100,0.000840336,605083,68000,36625,1,8.9,16.52
1100,100,0.000833333,782375,52708,35333,1,14.84,22.14
1110,100,0.000826446,611791,51125,37542,1,11.97,16.3
1120,100,0.000819672,620791,51417,34208,1,12.07,18.15
1130,100,0.000813008,617709,52334,34083,1,11.8,18.12
1140,100,0.000806452,627667,56667,38000,1,11.08,16.52
1150,100,0.0008,645583,54333,33875,1,11.88,19.06
1160,100,0.000793651,637959,56917,34208,1,11.21,18.65
1170,100,0.000787402,625834,52833,31750,1,11.85,19.71
1180,100,0.00078125,637791,50333,35250,1,12.67,18.09
1190,100,0.000775194,605000,50125,32541,1,12.07,18.59
1200,100,0.000769231,614166,45250,30916,1,13.57,19.87
1210,100,0.000763359,661334,50042,35292,1,13.22,18.74
1220,100,0.000757576,623750,46250,51416,1,13.49,12.13
1230,100,0.00075188,633709,51542,33709,1,12.3,18.8
1240,100,0.000746269,635333,49417,32542,1,12.86,19.52
1250,100,0.000740741,628416,49167,34500,1,12.78,18.21
1260,100,0.000735294,721959,62791,37875,1,11.5,19.06
1270,100,0.000729927,640792,50083,33250,1,12.79,19.27
1280,100,0.000724638,656917,51167,32166,1,12.84,20.42
1290,100,0.000719424,712167,54333,35334,1,13.11,20.16
1300,100,0.000714286,688750,52583,33750,1,13.1,20.41
1310,100,0.00070922,695750,92500,35959,1,7.52,19.35
1320,100,0.000704225,678958,53042,33792,1,12.8,20.09
1330,100,0.000699301,712500,59875,35792,1,11.9,19.91
1340,100,0.000694444,684834,55042,34542,1,12.44,19.83
1350,100,0.000689655,715708,51666,33875,1,13.85,21.13
1360,100,0.000684932,738667,58709,51542,1,12.58,14.33
1370,100,0.000680272,729750,57292,34916,1,12.74,20.9
1380,100,0.000675676,743834,80083,39334,1,9.29,18.91
1390,100,0.000671141,735875,53583,37500,1,13.73,19.62
1400,100,0.000666667,745375,56833,36125,1,13.12,20.63
1410,100,0.000662252,757458,59625,36875,1,12.7,20.54
1420,100,0.000657895,728625,52666,37000,1,13.83,19.69
1430,100,0.000653595,742666,57459,38042,1,12.93,19.52
1440,100,0.000649351,760583,59959,37459,1,12.69,20.3
1450,100,0.000645161,793042,62542,47541,1,12.68,16.68
1460,100,0.000641026,765042,58625,42042,1,13.05,18.2
1470,100,0.000636943,792125,66583,40833,1,11.9,19.4
1480,100,0.000632911,737958,57000,39958,1,12.95,18.47
1490,100,0.000628931,798083,65791,38500,1,12.13,20.73
1500,100,0.000625,806041,65708,40750,1,12.27,19.78
1510,100,0.000621118,815708,60333,42750,1,13.52,19.08
1520,100,0.000617284,762000,58792,39125,1,12.96,19.48
1530,100,0.000613497,797125,64167,64750,1,12.42,12.31
1540,100,0.000609756,791042,61417,39333,1,12.88,20.11
1550,100,0.000606061,799292,64417,41625,1,12.41,19.2
1560,100,0.00060241,805167,62666,39334,1,12.85,20.47
1570,100,0.000598802,817167,63458,38083,1,12.88,21.46
1580,100,0.000595238,850500,66584,39625,1,12.77,21.46
1590,100,0.000591716,812666,67875,37916,1,11.97,21.43
1600,100,0.000588235,838958,70500,40834,1,11.9,20.55
1610,100,0.000584795,858500,67708,42375,1,12.68,20.26
1620,100,0.000581395,827708,64916,39542,1,12.75,20.93
1630,100,0.000578035,865333,62000,40167,1,13.96,21.54
1640,100,0.000574713,876875,64500,42375,1,13.59,20.69
1650,100,0.000571429,877125,73208,42542,1,11.98,20.62
1660,100,0.000568182,886708,63291,41333,1,14.01,21.45
1670,100,0.000564972,884916,64708,45333,1,13.68,19.52
1680,100,0.000561798,887333,66125,44167,1,13.42,20.09
1690,100,0.000558659,882625,72334,41584,1,12.2,21.23
1700,100,0.000555556,905042,68250,44916,1,13.26,20.15
1710,100,0.000552486,906584,81833,44833,1,11.08,20.22
1720,100,0.000549451,902125,63584,45458,1,14.19,19.85
1730,100,0.000546448,935584,70000,46875,1,13.37,19.96
1740,100,0.000543478,900542,63041,40750,1,14.29,22.1
1750,100,0.000540541,956042,68834,46709,1,13.89,20.47
1760,100,0.000537634,919833,66458,44125,1,13.84,20.85
1770,100,0.000534759,953458,74042,46625,1,12.88,20.45
1780,100,0.000531915,921625,65708,42792,1,14.03,21.54
1790,100,0.000529101,923291,70417,43958,1,13.11,21
1800,100,0.000526316,944042,81542,48209,1,11.58,19.58
1810,100,0.00052356,934000,69875,44417,1,13.37,21.03
1820,100,0.000520833,964917,77917,47584,1,12.38,20.28
1830,100,0.000518135,956958,75208,45125,1,12.72,21.21
1840,100,0.000515464,996167,73708,44333,1,13.52,22.47
1850,100,0.000512821,935250,74833,43750,1,12.5,21.38
1860,100,0.000510204,959541,79625,48209,1,12.05,19.9
1870,100,0.000507614,955875,76041,45417,1,12.57,21.05
1880,100,0.000505051,962875,72583,46250,1,13.27,20.82
1890,100,0.000502513,1010833,112792,54542,1,8.96,18.53
1900,100,0.0005,1006000,72209,47542,1,13.93,21.16
1910,100,0.000497512,1005250,75167,46125,1,13.37,21.79
1920,100,0.00049505,992000,75500,45458,1,13.14,21.82
1930,100,0.000492611,1001459,79000,46541,1,12.68,21.52
1940,100,0.000490196,1028917,120541,56250,1,8.54,18.29
1950,100,0.000487805,1010666,74708,53125,1,13.53,19.02
1960,100,0.000485437,1029000,79417,47500,1,12.96,21.66
1970,100,0.000483092,1027375,85834,48833,1,11.97,21.04
1980,100,0.000480769,1011083,74458,47458,1,13.58,21.3
1990,100,0.000478469,1050417,117375,52292,1,8.95,20.09
2000,100,0.00047619,1022125,75458,47250,1,13.55,21.63
2010,100,0.000473934,1659541,254792,84084,1,6.51,19.74
2020,100,0.000471698,1845542,121208,79584,1,15.23,23.19
2030,100,0.000469484,1484000,109959,76083,1,13.5,19.51
2040,100,0.00046729,1245416,92166,61458,1,13.51,20.26
2050,100,0.000465116,1201333,89000,63000,1,13.5,19.07
2060,100,0.000462963,1113583,79250,52083,1,14.05,21.38
2070,100,0.000460829,1089417,79125,50167,1,13.77,21.72
2080,100,0.000458716,1060875,83709,60041,1,12.67,17.67
2090,100,0.000456621,1088375,82167,53125,1,13.25,20.49
2100,100,0.000454545,1098958,78708,50959,1,13.96,21.57
2110,100,0.000452489,1091791,85625,62916,1,12.75,17.35
2120,100,0.00045045,1072542,79041,54292,1,13.57,19.76
2130,100,0.00044843,1131250,83625,57250,1,13.53,19.76
2140,100,0.000446429,1126583,100792,55459,1,11.18,20.31
2150,100,0.000444444,1133333,82959,53084,1,13.66,21.35
2160,100,0.000442478,1125833,87208,54375,1,12.91,20.7
2170,100,0.000440529,1134292,105708,52834,1,10.73,21.47
2180,100,0.000438596,1141333,84750,54708,1,13.47,20.86
2190,100,0.000436681,1147250,84542,59958,1,13.57,19.13
2200,100,0.000434783,1171583,94000,56875,1,12.46,20.6
2210,100,0.0004329,1164833,84291,60709,1,13.82,19.19
2220,100,0.000431034,1144791,85958,54375,1,13.32,21.05
2230,100,0.000429185,1161208,86167,53833,1,13.48,21.57
2240,100,0.00042735,1143625,92916,57792,1,12.31,19.79
2250,100,0.000425532,1149333,86667,53750,1,13.26,21.38
2260,100,0.000423729,1164667,86083,55375,1,13.53,21.03
2270,100,0.000421941,1180833,95667,55167,1,12.34,21.4
2280,100,0.000420168,1143083,83916,65625,1,13.62,17.42
2290,100,0.00041841,1200541,89541,55583,1,13.41,21.6
2300,100,0.000416667,1195625,92750,56292,1,12.89,21.24
2310,100,0.000414938,1175792,93583,56292,1,12.56,20.89
2320,100,0.000413223,1170167,90458,57500,1,12.94,20.35
2330,100,0.000411523,1181167,88667,59458,1,13.32,19.87
2340,100,0.000409836,1245458,99000,57459,1,12.58,21.68
2350,100,0.000408163,1170917,85584,54334,1,13.68,21.55
2360,100,0.000406504,1185334,88959,56125,1,13.32,21.12
2370,100,0.000404858,1261166,95209,57791,1,13.25,21.82
2380,100,0.000403226,1325625,132792,160917,1,9.98,8.24
2390,100,0.000401606,1231458,96792,64500,1,12.72,19.09
2400,100,0.0004,1235375,92833,61000,1,13.31,20.25
2410,100,0.000398406,1235959,92000,58333,1,13.43,21.19
2420,100,0.000396825,1284458,91500,57792,1,14.04,22.23
2430,100,0.000395257,1249125,93291,56958,1,13.39,21.93
2440,100,0.000393701,1226917,90375,58417,1,13.58,21
2450,100,0.000392157,1268250,91750,58167,1,13.82,21.8
2460,100,0.000390625,1262125,109583,58667,1,11.52,21.51
2470,100,0.000389105,1238208,91791,57541,1,13.49,21.52
2480,100,0.000387597,1550083,158375,68584,1,9.79,22.6
2490,100,0.0003861,1354708,111291,64416,1,12.17,21.03
2500,100,0.000384615,1347709,106167,65666,1,12.69,20.52
2510,100,0.000383142,1316000,114792,62500,1,11.46,21.06
2520,100,0.000381679,1318042,103500,63708,1,12.73,20.69
2530,100,0.000380228,1293666,116833,65500,1,11.07,19.75
